game_id,round_number,Date,Location,Home_Team,Away_Team
1,1,45001.34722,MCG,Richmond,Carlton
2,1,45002.36111,MCG,Geelong Cats,Collingwood
3,1,45003.11458,Marvel Stadium,North Melbourne,West Coast Eagles
4,1,45003.23264,Adelaide Oval,Port Adelaide,Brisbane Lions
5,1,45003.35069,MCG,Melbourne,Western Bulldogs
6,1,45003.375,Heritage Bank Stadium,Gold Coast Suns,Sydney Swans
7,1,45004.09028,GIANTS Stadium,GWS Giants,Adelaide Crows
8,1,45004.18056,MCG,Hawthorn,Essendon
9,1,45004.23611,Marvel Stadium,St Kilda,Fremantle
10,2,45008.34722,MCG,Carlton,Geelong Cats
11,2,45009.37153,Gabba,Brisbane Lions,Melbourne
12,2,45010.11458,MCG,Collingwood,Port Adelaide
13,2,45010.23264,Adelaide Oval,Adelaide Crows,Richmond
14,2,45010.35069,Marvel Stadium,Western Bulldogs,St Kilda
15,2,45010.35417,Optus Stadium,Fremantle,North Melbourne
16,2,45011.09028,SCG,Sydney Swans,Hawthorn
17,2,45011.18056,Marvel Stadium,Essendon,Gold Coast Suns
18,2,45011.30556,Optus Stadium,West Coast Eagles,GWS Giants
19,3,45015.34722,Marvel Stadium,Western Bulldogs,Brisbane Lions
20,3,45016.36806,MCG,Collingwood,Richmond
21,3,45017.11458,University of Tasmania Stadium,Hawthorn,North Melbourne
22,3,45017.23264,GIANTS Stadium,GWS Giants,Carlton
23,3,45017.35069,MCG,St Kilda,Essendon
24,3,45017.35417,Adelaide Oval,Port Adelaide,Adelaide Crows
25,3,45018.17361,Heritage Bank Stadium,Gold Coast Suns,Geelong Cats
26,3,45018.22222,MCG,Melbourne,Sydney Swans
27,3,45018.30556,Optus Stadium,Fremantle,West Coast Eagles
28,4,45022.39931,Gabba,Brisbane Lions,Collingwood
29,4,45023.26389,Marvel Stadium,North Melbourne,Carlton
30,4,45024.15625,Adelaide Oval,Adelaide Crows,Fremantle
31,4,45024.27431,MCG,Richmond,Western Bulldogs
32,4,45024.39583,Marvel Stadium,St Kilda,Gold Coast Suns
33,4,45024.39583,SCG,Sydney Swans,Port Adelaide
34,4,45025.17361,Marvel Stadium,Essendon,GWS Giants
35,4,45025.30556,Optus Stadium,West Coast Eagles,Melbourne
36,4,45026.22222,MCG,Geelong Cats,Hawthorn
37,5,45029.40278,Adelaide Oval,Adelaide Crows,Carlton
38,5,45030.29861,Norwood Oval,Fremantle,Gold Coast Suns
39,5,45030.42361,Adelaide Oval,Richmond,Sydney Swans
40,5,45031.13194,Adelaide Hills,Brisbane Lions,North Melbourne
41,5,45031.25694,Adelaide Oval,Essendon,Melbourne
42,5,45031.40972,Adelaide Oval,Port Adelaide,Western Bulldogs
43,5,45032.13194,Adelaide Oval,Geelong Cats,West Coast Eagles
44,5,45032.22222,Norwood Oval,GWS Giants,Hawthorn
45,5,45032.28472,Adelaide Oval,Collingwood,St Kilda
46,6,45037.42361,Optus Stadium,Fremantle,Western Bulldogs
47,6,45038.15625,Adelaide Oval,Port Adelaide,West Coast Eagles
48,6,45038.27431,Manuka Oval,GWS Giants,Brisbane Lions
49,6,45038.39236,GMHBA Stadium,Geelong Cats,Sydney Swans
50,6,45039.13194,University of Tasmania Stadium,Hawthorn,Adelaide Crows
51,6,45039.22222,Marvel Stadium,Carlton,St Kilda
52,6,45039.27778,Heritage Bank Stadium,Gold Coast Suns,North Melbourne
53,6,45040.39236,MCG,Melbourne,Richmond
54,6,45041.22222,MCG,Collingwood,Essendon
